Excipient_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
24832091,454.5130000000001,-0.9563999999999955,134.53000000000003,3,11,12,0,2,1.0,31,0,0,0,0,0,0,0,8,0,0,0
164825,534.3710000000002,-9.888200000000007,211.92,0,12,6,2,3,0.0625,34,0,0,0,1,0,0,0,0,0,0,1
8567,195.215,-3.3582999999999976,113.18,6,6,6,0,0,1.0,13,0,1,0,0,0,0,0,0,0,0,0
5102882,216.12099999999998,-7.459799999999997,130.28,4,7,1,0,1,0.8333333333333334,14,0,0,0,0,0,0,0,1,0,0,1
24844,147.014,-8.0222,63.0,0,0,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,2,0
237332,126.11099999999996,0.5844,50.44,1,3,2,1,1,0.16666666666666666,9,0,0,0,0,1,0,0,0,0,0,0
518696,159.68699999999998,-0.311,43.370000000000005,0,3,2,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
2682,242.44699999999992,5.460000000000006,20.23,1,1,14,0,0,1.0,17,0,0,0,0,0,0,0,0,0,0,0
121950,286.277,-1.0052999999999983,172.58999999999997,6,6,4,0,0,0.7,19,0,0,0,0,0,0,0,0,0,0,3
712,30.026,-0.1849,17.07,0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0
